title,price,description,stockQuantity,imageUrl,dateAddedToStock,dateRemovedFromStock
Reusable Coffee Filter,195.61,Eco-friendly coffee filter for brewing.,27,http://dummyimage.com/230x100.png/5fa2dd/ffffff,10-10-2023,
Lockable Bicycle Chain,164.82,Heavy-duty chain lock for securing bicycles.,102,http://dummyimage.com/143x100.png/dddddd/000000,19-08-2023,
Cranberry Orange Oatmeal,878.23,Instant oatmeal flavored with cranberries and orange zest for breakfast.,38,http://dummyimage.com/142x100.png/dddddd/000000,26-06-2024,
Frozen Salmon Filets,773.93,"Wild-caught salmon filets, perfect for grilling or baking.",280,http://dummyimage.com/196x100.png/dddddd/000000,14-10-2022,
Peach Fruit Cups,110.23,"Juicy peach slices in light syrup, in convenient cups.",402,http://dummyimage.com/183x100.png/dddddd/000000,21-02-2022,
Roasted Chickpeas,582.38,Crispy roasted chickpeas seasoned to perfection,171,http://dummyimage.com/198x100.png/ff4444/ffffff,12-08-2024,
Interactive Robot Toy,462.5,Fun robot that engages kids with games and activities.,601,http://dummyimage.com/248x100.png/cc0000/ffffff,27-02-2023,
Professional Chef Knife,451.48,High-carbon stainless steel chef knife for precision cutting.,133,http://dummyimage.com/250x100.png/dddddd/000000,14-03-2022,14-09-2022
Pistachio Ice Cream,775.41,Creamy pistachio-flavored ice cream with real nuts.,511,http://dummyimage.com/159x100.png/5fa2dd/ffffff,07-07-2023,
Caraway Rye Bread,566.79,Artisan bread with caraway seeds for added flavor.,427,http://dummyimage.com/246x100.png/cc0000/ffffff,21-08-2020,
Wireless Earbuds Case,820.19,Protective case for wireless earbuds.,958,http://dummyimage.com/126x100.png/5fa2dd/ffffff,25-04-2024,25-04-2025
Stuffed Grape Leaves,421.14,"Grape leaves stuffed with rice and herbs, ready to eat.",264,http://dummyimage.com/101x100.png/cc0000/ffffff,13-02-2025,
Digital Stopwatch Timer,515.03,Accurate stopwatch for timing events and workouts.,497,http://dummyimage.com/128x100.png/5fa2dd/ffffff,29-04-2021,
Wireless Smart Plug,81.88,Control home appliances remotely using your smartphone app.,877,http://dummyimage.com/113x100.png/5fa2dd/ffffff,09-06-2023,
Fitness Tracker with Heart Rate Monitor,331.37,Wearable device to track fitness activities and heart rate.,535,http://dummyimage.com/243x100.png/5fa2dd/ffffff,02-12-2023,02-08-2024
Ranch Dressing,760.79,"Creamy ranch dressing, perfect for salads and dips.",142,http://dummyimage.com/125x100.png/ff4444/ffffff,05-02-2023,
Pineapple Coconut Bars,863.68,Refreshing dessert bars made with pineapple and coconut.,18,http://dummyimage.com/221x100.png/dddddd/000000,08-06-2023,
Tailored Blazer,679.47,Sharp tailored blazer perfect for office wear and professional events.,238,http://dummyimage.com/184x100.png/dddddd/000000,16-02-2024,
Jennifer's Amazing Lip Balm Kit,112.4,DIY kit to make your own lip balms in various flavors.,376,http://dummyimage.com/159x100.png/cc0000/ffffff,18-11-2022,
Spicy Avocado Salsa,963.41,"A zesty salsa made from ripe avocados, tomatoes, onions, and jalapeños, great for dipping or topping.",114,http://dummyimage.com/242x100.png/dddddd/000000,08-05-2020,08-02-2021
Animal Paw Print Soap Dispenser,330.89,Cute dispenser for bathrooms or kitchens featuring paw prints.,431,http://dummyimage.com/125x100.png/5fa2dd/ffffff,30-03-2022,
Pet Nail Clipper,190.26,Safe and easy-to-use nail clippers for pets.,361,http://dummyimage.com/186x100.png/5fa2dd/ffffff,16-08-2022,
Smart Home Hub,852.22,Connect and control smart devices from one app.,766,http://dummyimage.com/236x100.png/dddddd/000000,31-03-2024,
Maple Oatmeal,981.01,Delicious maple-flavored oatmeal for a quick breakfast.,29,http://dummyimage.com/185x100.png/ff4444/ffffff,16-05-2023,
Smartphone Car Mount with Wireless Charging,957.06,Secure phone mount that wirelessly charges your device while driving.,293,http://dummyimage.com/226x100.png/cc0000/ffffff,29-08-2023,
Vegetable Sushi Rolls,140.78,Fresh sushi rolls filled with a variety of vegetables.,926,http://dummyimage.com/170x100.png/dddddd/000000,15-04-2022,
Lemon Garlic Shrimp,575.06,"Marinated shrimp in a garlic and lemon sauce, perfect for grilling.",314,http://dummyimage.com/151x100.png/ff4444/ffffff,10-06-2021,
DIY Candle Kit,238.02,Everything you need to make your own scented candles at home.,725,http://dummyimage.com/132x100.png/cc0000/ffffff,29-02-2024,
Basil-infused Olive Oil,125.83,Extra virgin olive oil infused with fresh basil.,228,http://dummyimage.com/188x100.png/5fa2dd/ffffff,24-12-2024,
Chocolate Fudge Ice Cream,545.34,Rich and creamy chocolate fudge ice cream for dessert.,158,http://dummyimage.com/238x100.png/ff4444/ffffff,17-04-2023,
Garlic Butter Sauce,903.78,A rich sauce perfect for pasta or drizzling over vegetables.,299,http://dummyimage.com/149x100.png/5fa2dd/ffffff,21-07-2022,21-07-2023
Sparkling Blood Orange Soda,349.49,A refreshing sparkling beverage with a bold blood orange flavor.,26,http://dummyimage.com/193x100.png/dddddd/000000,15-11-2021,
Cordless Electric Screwdriver,374.39,Rechargeable screwdriver with multiple bits for DIY projects.,817,http://dummyimage.com/237x100.png/dddddd/000000,02-05-2024,
Smoked Salmon,727.04,"Deliciously smoked salmon, great for bagels.",269,http://dummyimage.com/242x100.png/ff4444/ffffff,17-10-2020,
Cable Knit Beanie,670.96,A cozy cable knit beanie to keep your head warm in winter.,253,http://dummyimage.com/124x100.png/ff4444/ffffff,01-12-2024,
Spinach Feta Wraps,540.73,"Whole wheat wraps filled with spinach, feta, and herbs.",651,http://dummyimage.com/192x100.png/5fa2dd/ffffff,08-05-2021,
Samsung Galaxy Smartwatch,132.87,Stylish smartwatch with fitness tracking and notifications.,547,http://dummyimage.com/227x100.png/5fa2dd/ffffff,17-03-2021,
Electric Screwdriver,326.26,Cordless electric screwdriver for home projects.,951,http://dummyimage.com/142x100.png/ff4444/ffffff,13-01-2022,
Camping Tent,897.0,Spacious 2-person camping tent with waterproof cover.,105,http://dummyimage.com/245x100.png/dddddd/000000,18-07-2023,
Jalapeño Cornbread,521.52,Spicy cornbread infused with jalapeños for a kick of flavor at your next meal.,754,http://dummyimage.com/181x100.png/5fa2dd/ffffff,14-05-2022,
Brussels Sprouts,62.92,"Fresh Brussels sprouts, great for roasting or steaming.",534,http://dummyimage.com/172x100.png/dddddd/000000,04-05-2024,
Camping Tent,411.53,Spacious 2-person camping tent with waterproof cover.,116,http://dummyimage.com/160x100.png/5fa2dd/ffffff,14-09-2020,
Noise-Canceling Earbuds,24.19,Wireless earbuds designed for immersive sound experience.,222,http://dummyimage.com/120x100.png/5fa2dd/ffffff,14-09-2024,
Pet Reflective Vest,297.79,Safety vest for pets during nighttime walks.,78,http://dummyimage.com/120x100.png/dddddd/000000,26-09-2024,
LED Flashlight,959.86,Bright LED flashlight with adjustable beam.,348,http://dummyimage.com/129x100.png/dddddd/000000,29-03-2022,
Teriyaki Beef Strips,248.48,Marinated beef strips in teriyaki sauce for easy grilling.,676,http://dummyimage.com/151x100.png/cc0000/ffffff,22-07-2022,
Sriracha Chili Sauce,862.2,Spicy chili sauce with garlic and sugar for a flavor kick.,593,http://dummyimage.com/178x100.png/dddddd/000000,30-07-2023,
Pet Travel Backpack Carrier,613.19,Comfortable carry for pets while hiking or traveling.,480,http://dummyimage.com/116x100.png/ff4444/ffffff,23-06-2022,
Savory Oatmeal,515.08,Oatmeal made with savory spices and vegetables.,463,http://dummyimage.com/211x100.png/5fa2dd/ffffff,17-06-2022,
Handheld Vacuum,13.75,Cordless handheld vacuum for quick cleanups.,3,http://dummyimage.com/106x100.png/ff4444/ffffff,03-09-2024,
Pine Nuts,886.22,Nutty flavor perfect for pesto and salads.,464,http://dummyimage.com/102x100.png/5fa2dd/ffffff,22-09-2021,
Vegetable Samosas,992.07,Crispy pastry filled with seasoned vegetables.,451,http://dummyimage.com/238x100.png/5fa2dd/ffffff,13-03-2022,
Gardening Kneeler and Seat,378.16,Foldable kneeler that doubles as a seat for gardening convenience.,908,http://dummyimage.com/157x100.png/ff4444/ffffff,19-11-2022,
Car Windshield Sun Shade,939.96,Protects car interior from sun damage and heat.,860,http://dummyimage.com/205x100.png/dddddd/000000,27-05-2022,
Infrared Space Heater,135.4,Energy-efficient infrared heater for home use.,183,http://dummyimage.com/208x100.png/ff4444/ffffff,05-02-2022,
Vegan Tacos,162.01,Frozen vegan tacos filled with plant-based protein and spices.,497,http://dummyimage.com/200x100.png/cc0000/ffffff,19-08-2023,
Digital Bullet Journal,794.82,Stylish digital journaling app for notes and organizing tasks.,235,http://dummyimage.com/245x100.png/5fa2dd/ffffff,25-09-2024,
Sliced Strawberries,931.12,Fresh sliced strawberries for toppings or snacking,438,http://dummyimage.com/102x100.png/dddddd/000000,19-01-2024,
Teriyaki Beef Jerky,897.15,Savory and chewy beef jerky with teriyaki flavor.,564,http://dummyimage.com/250x100.png/5fa2dd/ffffff,04-03-2021,
Sweet Potato Tots,756.9,"Crispy sweet potato bites, delicious as a side or snack.",981,http://dummyimage.com/129x100.png/cc0000/ffffff,09-10-2023,
Tahini,313.88,Creamy tahini made from ground sesame seeds.,781,http://dummyimage.com/245x100.png/cc0000/ffffff,26-06-2020,
Portable Dog Water Bottle,568.87,Convenient water bottle for pets on the go.,695,http://dummyimage.com/166x100.png/cc0000/ffffff,24-01-2025,
Couscous,434.9,"Quick-cooking couscous, great as a side or base.",729,http://dummyimage.com/123x100.png/cc0000/ffffff,10-08-2020,
Wild Rice & Quinoa Mix,913.8,"Nutritious blend of wild rice and quinoa, perfect as a side dish.",916,http://dummyimage.com/134x100.png/cc0000/ffffff,14-09-2024,
Travel Pillow,941.32,Memory foam travel pillow for neck support.,237,http://dummyimage.com/144x100.png/5fa2dd/ffffff,06-02-2021,
Whipped Cream Cheese,339.32,"Light and fluffy cream cheese, perfect for bagels or cooking.",443,http://dummyimage.com/182x100.png/5fa2dd/ffffff,01-06-2022,
Vegetable Stock,782.02,Rich vegetable stock for cooking soups and stews.,842,http://dummyimage.com/137x100.png/dddddd/000000,01-10-2021,
Lemon Dill Salmon,926.72,"Salmon fillets seasoned with lemon and dill, perfect for grilling.",228,http://dummyimage.com/125x100.png/5fa2dd/ffffff,20-10-2021,
Cinnamon Sugar Popcorn,792.23,Sweet popcorn coated in a mixture of cinnamon and sugar.,678,http://dummyimage.com/212x100.png/5fa2dd/ffffff,17-10-2023,
Tactical Backpack,384.87,Durable and versatile backpack for outdoor and travel use.,868,http://dummyimage.com/193x100.png/5fa2dd/ffffff,31-07-2024,
Non-Stick Grill Pan,457.96,Heavy-duty grill pan for indoor grilling.,718,http://dummyimage.com/237x100.png/cc0000/ffffff,23-02-2024,
Honey Garlic Sauce,524.77,A delicious sauce perfect for stir-frying or glazing meats.,243,http://dummyimage.com/244x100.png/5fa2dd/ffffff,20-02-2022,
Wall Art Stickers,584.73,Removable wall art stickers for home decoration.,29,http://dummyimage.com/250x100.png/5fa2dd/ffffff,09-12-2021,
Comfortable Jogger Pants,738.07,"Relaxed fit joggers made from soft fleece, ideal for lounging or workouts.",567,http://dummyimage.com/197x100.png/cc0000/ffffff,12-12-2021,
Vegetable Korma,978.78,Creamy vegetable curry enriched with spices.,629,http://dummyimage.com/177x100.png/ff4444/ffffff,11-10-2021,
Lentil Soup (canned),957.16,Hearty lentil soup for a quick meal.,186,http://dummyimage.com/203x100.png/5fa2dd/ffffff,08-01-2022,08-01-2023
Fresh Basil,356.15,"Aromatic fresh basil, perfect for Italian cooking.",348,http://dummyimage.com/100x100.png/dddddd/000000,25-03-2023,
Car Trash Can,921.71,Compact trash can for keeping your car clean.,880,http://dummyimage.com/250x100.png/dddddd/000000,21-08-2021,21-05-2022
Electric Hot Pot,100.25,Compact electric pot for hot pot dining at home.,151,http://dummyimage.com/147x100.png/dddddd/000000,23-11-2022,
Mediterranean Couscous Salad,317.21,"Couscous salad with cucumbers, tomatoes, feta, and olives, ready to eat.",748,http://dummyimage.com/138x100.png/dddddd/000000,06-04-2023,
Wine Decanter,259.39,Elegant glass decanter for aerating wine.,686,http://dummyimage.com/147x100.png/5fa2dd/ffffff,04-10-2022,
Compact Digital Camera,7.07,High-resolution camera for stunning photos.,662,http://dummyimage.com/134x100.png/cc0000/ffffff,02-03-2024,
Coconut Milk Yogurt,383.76,Creamy yogurt made with coconut milk,631,http://dummyimage.com/133x100.png/dddddd/000000,20-12-2020,
Chocolate Protein Powder,960.01,Rich chocolate protein powder for smoothies and baking.,957,http://dummyimage.com/243x100.png/dddddd/000000,09-09-2024,
Board Game Storage,572.21,Organize your board games with this storage bin.,68,http://dummyimage.com/143x100.png/5fa2dd/ffffff,26-09-2022,
Photo Album,403.28,Classic leather photo album for keepsakes.,268,http://dummyimage.com/170x100.png/dddddd/000000,07-01-2024,
Organic Whole Grain Oats,313.4,Whole grain oats that are perfect for breakfast or baking.,362,http://dummyimage.com/228x100.png/ff4444/ffffff,30-11-2022,
Corn Tortillas,36.63,"Soft and warm corn tortillas, perfect for tacos and burritos.",43,http://dummyimage.com/145x100.png/5fa2dd/ffffff,28-09-2023,
Indian Curry Sauce,314.23,Authentic Indian curry sauce for quick meals.,402,http://dummyimage.com/170x100.png/ff4444/ffffff,12-05-2022,
Puff Pastry,907.72,Versatile puff pastry for pies and pastries.,655,http://dummyimage.com/208x100.png/5fa2dd/ffffff,06-05-2023,
Cinnamon Roll Dough,668.92,Ready-to-bake cinnamon roll dough for easy breakfasts.,43,http://dummyimage.com/249x100.png/cc0000/ffffff,22-09-2024,
Asian Noodle Salad Kit,696.33,A pre-packaged salad kit with noodles and Asian-style dressing.,832,http://dummyimage.com/190x100.png/dddddd/000000,29-10-2023,29-06-2024
Roasted Chickpeas,199.81,Crispy roasted chickpeas seasoned to perfection,70,http://dummyimage.com/233x100.png/cc0000/ffffff,24-12-2023,24-07-2024
Buffalo Stilton Cheese,360.4,Spicy blue cheese with a hint of buffalo flavor.,137,http://dummyimage.com/169x100.png/cc0000/ffffff,16-03-2023,
Bamboo Cotton Tank Top,178.36,"Sustainable tank top made of bamboo cotton, offering breathability and comfort.",353,http://dummyimage.com/220x100.png/cc0000/ffffff,18-06-2023,
Spicy Thai Noodles,949.15,Instant noodles with a spicy Thai sauce for quick meals.,385,http://dummyimage.com/225x100.png/ff4444/ffffff,10-09-2020,
Kids' Art Supplies Kit,659.57,"Complete kit with crayons, markers, and paper for young artists.",729,http://dummyimage.com/147x100.png/5fa2dd/ffffff,02-03-2021,
Compact Pop-Up Tent,978.48,Easy setup tent perfect for camping and outdoor festivals.,666,http://dummyimage.com/218x100.png/5fa2dd/ffffff,13-12-2022,
Maple Bacon Potato Chips,54.2,Savory potato chips with a hint of maple sweetness and crispy bacon flavor.,258,http://dummyimage.com/146x100.png/cc0000/ffffff,03-01-2025,
Dark Chocolate Covered Almonds,840.24,Roasted almonds dipped in rich dark chocolate.,781,http://dummyimage.com/191x100.png/5fa2dd/ffffff,08-05-2020,
Fitness Mat,23.49,Thick and durable mat for workouts and yoga.,830,http://dummyimage.com/189x100.png/5fa2dd/ffffff,10-03-2023,
Oven Mitts,807.84,Silicone oven mitts for safe handling of hot cookware.,786,http://dummyimage.com/141x100.png/5fa2dd/ffffff,06-09-2023,
Garlic Herb Marinade,291.14,"A savory marinade for meats, perfect for grilling.",455,http://dummyimage.com/172x100.png/ff4444/ffffff,28-05-2022,
Honey Sesame Cashews,440.35,Roasted cashews coated in honey and sesame seeds for a sweet treat.,616,http://dummyimage.com/236x100.png/ff4444/ffffff,05-07-2022,05-04-2023
Wireless Charger Stand,833.67,Convenient charging stand for smartphones and devices.,503,http://dummyimage.com/197x100.png/5fa2dd/ffffff,29-02-2024,
Linen Trousers,709.41,Breathable linen trousers perfect for hot weather.,206,http://dummyimage.com/137x100.png/ff4444/ffffff,02-03-2022,
Oats,598.72,"Organic rolled oats, great for breakfast or baking.",426,http://dummyimage.com/146x100.png/5fa2dd/ffffff,21-05-2023,
USB Flash Drive,907.25,32GB USB flash drive with fast data transfer speeds.,207,http://dummyimage.com/115x100.png/cc0000/ffffff,30-12-2023,
Organic Tomato Soup,304.78,Hearty tomato soup made from organic ingredients.,474,http://dummyimage.com/149x100.png/cc0000/ffffff,30-03-2025,
Soft Plush Throw Blanket,396.08,Cozy throw blanket perfect for chilly evenings.,995,http://dummyimage.com/236x100.png/5fa2dd/ffffff,14-07-2020,
Roasted Garlic,588.28,Savory roasted garlic in a jar for easy use.,926,http://dummyimage.com/112x100.png/ff4444/ffffff,22-03-2023,
Buffalo Cauliflower Bites,205.65,Spicy cauliflower bites for a vegetarian snack.,358,http://dummyimage.com/204x100.png/5fa2dd/ffffff,26-12-2022,
Miso Soup Starter,279.49,Miso paste for making traditional Japanese miso soup.,771,http://dummyimage.com/111x100.png/5fa2dd/ffffff,06-06-2022,
Tuscan Bean Soup,25.06,A hearty mix of beans in a flavorful tomato broth.,36,http://dummyimage.com/167x100.png/dddddd/000000,14-03-2024,
Garam Masala Spice Blend,39.77,A fragrant Indian spice blend for curries and stews.,534,http://dummyimage.com/169x100.png/ff4444/ffffff,25-07-2021,
Skincare Fridge,34.31,Small fridge designed to keep skincare products cool and fresh.,653,http://dummyimage.com/171x100.png/5fa2dd/ffffff,30-06-2023,
Bike Repair Tool Kit,557.3,Essential tools for bike maintenance and repair.,866,http://dummyimage.com/245x100.png/5fa2dd/ffffff,21-05-2024,
Reclining Camping Chair,506.17,Foldable reclining camping chair with cup holder.,49,http://dummyimage.com/109x100.png/ff4444/ffffff,05-09-2020,05-08-2021
Beef Chili,672.5,"Hearty beef chili, ready to heat and eat.",761,http://dummyimage.com/141x100.png/ff4444/ffffff,15-01-2021,15-09-2021
Crispy Kale Chips,737.34,"Baked kale chips seasoned for a healthy, crunchy snack.",535,http://dummyimage.com/191x100.png/dddddd/000000,13-11-2020,
Maple Oatmeal,9.07,Delicious maple-flavored oatmeal for a quick breakfast.,712,http://dummyimage.com/215x100.png/5fa2dd/ffffff,16-07-2021,
Portable Camping Shower,172.93,Convenient shower system for camping and outdoor activities.,723,http://dummyimage.com/131x100.png/dddddd/000000,29-09-2023,
Golf Polo Shirt,823.05,Breathable polo shirt designed for both style and comfort on the greens.,864,http://dummyimage.com/208x100.png/cc0000/ffffff,26-03-2024,
Essential Oil Diffuser,534.03,Ultrasonic diffuser that helps create a calming atmosphere.,873,http://dummyimage.com/128x100.png/ff4444/ffffff,14-11-2020,
Peanut Butter Cookies,431.96,Soft and chewy cookies made with creamy peanut butter.,311,http://dummyimage.com/241x100.png/5fa2dd/ffffff,26-09-2021,
Travel Size Toiletry Bottles,207.96,Leak-proof bottles for travel-sized toiletries.,149,http://dummyimage.com/159x100.png/5fa2dd/ffffff,04-04-2023,
Stuffed Peppers with Quinoa,501.56,Bell peppers filled with quinoa and vegetables.,37,http://dummyimage.com/177x100.png/5fa2dd/ffffff,05-10-2023,
Eco-Friendly Yoga Blocks,639.84,Sustainable foam blocks for yoga practice.,104,http://dummyimage.com/219x100.png/ff4444/ffffff,06-03-2021,
Dual Function Electric Skillet,844.34,"Skillet that can fry, grill, and sauté with ease.",867,http://dummyimage.com/166x100.png/5fa2dd/ffffff,19-01-2024,
Organic Granola Cereal,310.2,Crunchy granola made with organic oats,745,http://dummyimage.com/232x100.png/dddddd/000000,19-05-2021,
Electric Rice Cooker,488.18,Multi-function rice cooker for all types of rice recipes.,940,http://dummyimage.com/211x100.png/dddddd/000000,03-12-2021,
Tahini,698.49,Creamy tahini made from ground sesame seeds.,617,http://dummyimage.com/106x100.png/dddddd/000000,27-01-2024,
Pet Hair Removal Roller,644.64,Lint roller designed specifically for removing pet hair from furniture.,7,http://dummyimage.com/130x100.png/5fa2dd/ffffff,11-04-2021,
Savory Trail Mix,294.83,"A blend of nuts, seeds, and spices for a healthy snack.",17,http://dummyimage.com/125x100.png/ff4444/ffffff,11-03-2025,
Cinnamon Ice Cream,973.44,"Creamy ice cream with a warm cinnamon flavor, perfect for dessert.",796,http://dummyimage.com/149x100.png/dddddd/000000,26-06-2021,
Vegetable Potstickers,26.74,"Delicious vegetable dumplings, perfect for steaming or frying.",500,http://dummyimage.com/151x100.png/ff4444/ffffff,28-07-2023,
Garden Tool Belt,176.64,Handy belt for carrying garden tools while working.,794,http://dummyimage.com/197x100.png/dddddd/000000,22-07-2024,
Reusable Silicone Food Storage Bags,398.91,Eco-friendly bags for storing food without plastic waste.,723,http://dummyimage.com/187x100.png/ff4444/ffffff,10-03-2023,
Lightweight Workout Tank,548.56,Breathable tank top perfect for workouts or casual wear.,752,http://dummyimage.com/223x100.png/5fa2dd/ffffff,05-01-2022,
Athletic Jogging Jacket,841.49,Designed for comfort and performance during workouts.,646,http://dummyimage.com/166x100.png/cc0000/ffffff,05-10-2024,
Maple Oatmeal,396.77,Delicious maple-flavored oatmeal for a quick breakfast.,929,http://dummyimage.com/193x100.png/5fa2dd/ffffff,24-11-2021,
USB Desk Fan,355.76,Compact USB fan for personal cooling.,807,http://dummyimage.com/139x100.png/cc0000/ffffff,06-12-2023,
High-Speed Hand Blender,744.31,Powerful hand blender for soups and smoothies.,532,http://dummyimage.com/222x100.png/dddddd/000000,04-01-2025,
Kids Tablet,898.07,Durable tablet designed for kids with parental controls.,683,http://dummyimage.com/205x100.png/cc0000/ffffff,29-04-2023,
Banana Nut Muffins,677.47,"Moist, fluffy muffins packed with bananas and walnuts for a delightful breakfast or snack.",938,http://dummyimage.com/203x100.png/dddddd/000000,10-04-2023,
Spiced Pumpkin Soup,365.57,"A creamy pumpkin soup with a blend of warm spices, ready to heat and serve.",670,http://dummyimage.com/167x100.png/5fa2dd/ffffff,09-08-2020,
Pet Waterer with Filtration,336.9,Automatic waterer that filters and provides fresh drinking water for pets.,511,http://dummyimage.com/193x100.png/dddddd/000000,01-06-2023,
Peach Salsa,230.03,Sweet and spicy salsa made with fresh peaches.,765,http://dummyimage.com/226x100.png/5fa2dd/ffffff,20-08-2021,
Organic Brown Sugar,501.95,Natural sweetener for baking and cooking.,231,http://dummyimage.com/105x100.png/5fa2dd/ffffff,14-01-2023,
Ice Pack,969.57,Reusable gel ice pack for injuries and cooling.,139,http://dummyimage.com/125x100.png/dddddd/000000,26-10-2020,
High-Quality Yoga Block,847.14,Foam yoga block for enhancing poses and stability.,580,http://dummyimage.com/111x100.png/ff4444/ffffff,28-09-2024,
Honey Nut Cheerios,95.91,Classic cereal made with whole grains and honey.,783,http://dummyimage.com/216x100.png/ff4444/ffffff,05-04-2020,
Fruit & Nut Trail Mix,354.01,"A blend of dried fruits and nuts, great for snacking.",333,http://dummyimage.com/138x100.png/cc0000/ffffff,27-06-2020,
Non-Stick Baking Sheet,420.88,Durable baking sheet coated for easy food release.,235,http://dummyimage.com/156x100.png/5fa2dd/ffffff,09-08-2022,
Pineapple Coconut Rice Mix,458.83,A flavorful blend of rice with tropical pineapple and coconut flavors.,893,http://dummyimage.com/155x100.png/ff4444/ffffff,24-10-2020,
Chocolate Coconut Granola,311.13,"Crunchy granola with chocolate and coconut, great for breakfast or snacks.",316,http://dummyimage.com/140x100.png/ff4444/ffffff,16-06-2023,
Peach Fruit Cups,25.82,"Juicy peach slices in light syrup, in convenient cups.",15,http://dummyimage.com/211x100.png/cc0000/ffffff,09-08-2023,
Memory Foam Mattress Topper,718.9,3-inch memory foam mattress topper for added comfort.,356,http://dummyimage.com/246x100.png/5fa2dd/ffffff,23-08-2023,
Kids' Educational Tablet,113.41,Learning tablet with kid-friendly educational apps.,81,http://dummyimage.com/238x100.png/5fa2dd/ffffff,23-09-2020,
Silicone Baking Molds,678.33,Set of flexible molds for baking cakes and pastries.,302,http://dummyimage.com/221x100.png/ff4444/ffffff,03-03-2024,
Fresh Cilantro,639.56,"Bright and fragrant cilantro, great for garnishes.",672,http://dummyimage.com/130x100.png/dddddd/000000,04-11-2023,
Beef Jerky,29.56,"Savory, protein-rich beef jerky for on-the-go snacking.",695,http://dummyimage.com/230x100.png/5fa2dd/ffffff,10-11-2020,
Pumpkin Pie Spice,685.15,A blend of spices that brings the taste of fall to your baked goods.,603,http://dummyimage.com/208x100.png/cc0000/ffffff,20-11-2022,20-01-2023
Portable Massage Gun,597.15,Personal massager for muscle recovery.,296,http://dummyimage.com/209x100.png/dddddd/000000,02-08-2022,02-11-2022
Smartwatch,495.45,Stylish smartwatch with fitness tracking features.,209,http://dummyimage.com/173x100.png/ff4444/ffffff,09-02-2025,
